C: Cluster	Razor Protein
cluster 1	P35831
cluster 1	P32921
cluster 1	P29341
cluster 1	P28271
cluster 1	Q61696
cluster 1	P14824
cluster 1	P14152
cluster 1	P11928
cluster 1	P11679
cluster 1	P09411
cluster 1	E9Q555
cluster 1	Q8VDD5
cluster 1	Q9WVK4
cluster 1	Q9WVA4
cluster 1	Q9EQP2
cluster 1	Q9DCD0
cluster 1	Q9D0I9
cluster 1	Q9CWJ9
cluster 1	Q924Y0
cluster 1	Q91X83
cluster 1	Q8VDD5
cluster 1	Q8VDD5
cluster 1	Q8QZR1
cluster 1	Q8CAS9
cluster 1	Q8BW75
cluster 1	Q8BVW3
cluster 1	Q8BP47
cluster 1	Q8BH00
cluster 1	Q6ZQ38
cluster 1	Q6Q899
cluster 1	Q69Z37
cluster 1	Q64282
cluster 1	Q61147
cluster 1	Q3UQ44
cluster 1	Q60817
cluster 1	P68040
cluster 1	P68134
cluster 1	P58252
cluster 1	P51150
cluster 1	P50285
cluster 1	P42225
cluster 1	P32921
cluster 1	P16858
cluster 1	P14206
cluster 1	P11983
cluster 1	P11983
cluster 1	P11499
cluster 1	P07901
cluster 1	P05132
cluster 1	P02463
cluster 1	O70310
cluster 1	O09173
cluster 1	E9Q555
cluster 1	A0JNU3
cluster 2	E9Q555
cluster 2	Q9ET01
cluster 2	Q9D0I9
cluster 2	Q8VDD5
cluster 2	P42225
cluster 2	Q63932
cluster 2	P62983
cluster 2	Q9Z1Q9
cluster 2	Q9Z1Q9
cluster 2	Q9WUR2
cluster 2	Q99MN1
cluster 2	Q91V92
cluster 2	Q8VDD5
cluster 2	Q8VCN5
cluster 2	Q8R0W0
cluster 2	Q8C547
cluster 2	Q8BX57
cluster 2	Q80SU7
cluster 2	Q69ZN7
cluster 2	Q64516
cluster 2	Q61699
cluster 2	Q61316
cluster 2	P69566
cluster 2	P48455
cluster 2	P32020
cluster 2	P32020
cluster 2	P12970
cluster 2	P11499
cluster 2	P0CG49
cluster 2	E9Q555
cluster 2	P06801
cluster 2	Q9QXE0
cluster 2	Q9QXD6
cluster 2	Q9D826
cluster 2	Q91YI0
cluster 2	Q8R0Y6
cluster 2	Q8JZR0
cluster 2	Q8C196
cluster 2	Q8C196
cluster 2	Q8C196
cluster 2	Q8C196
cluster 2	Q61176
cluster 2	P63017
cluster 2	P63017
cluster 2	P50247
cluster 2	O88428
cluster 2	P19096
cluster 2	Q9ET01
cluster 2	Q91WT9
cluster 2	Q8R0W0
cluster 2	Q8QZR1
cluster 2	Q78PY7
cluster 2	P63017
cluster 2	P35700
cluster 2	P05064
cluster 2	A2AJL3
cluster 2	E9Q555
cluster 2	Q9Z0E6
cluster 2	Q99LI8
cluster 2	Q922H4
cluster 2	Q91YI0
cluster 2	Q8VCN5
cluster 2	Q8R0Y6
cluster 2	Q8C196
cluster 2	Q571F8
cluster 2	P41216
cluster 2	P17563
cluster 2	P28271
cluster 2	Q9WTI7
cluster 2	Q9R111
cluster 2	Q9R0P3
cluster 2	Q9R0H0
cluster 2	Q9QXD6
cluster 2	Q9DC50
cluster 2	Q99J08
cluster 2	Q99J08
cluster 2	Q91YI0
cluster 2	Q91YI0
cluster 2	Q91Y97
cluster 2	Q8R0Y6
cluster 2	Q8C196
cluster 2	P63017
cluster 2	P34914
cluster 2	P28271
cluster 2	P25688
cluster 2	P25688
cluster 2	P25688
cluster 2	P25688
cluster 2	P24270
cluster 2	P24270
cluster 2	P24270
cluster 2	P16858
cluster 2	P16858
cluster 2	P16460
cluster 2	P15327
cluster 2	P11679
cluster 2	P06745
cluster 2	P01942
cluster 2	P01901
cluster 2	O88844
cluster 2	O88844
cluster 2	O88844
cluster 2	Q5DU57
cluster 2	Q5DU57
cluster 2	Q5DU57
cluster 2	Q9R0H0
cluster 2	Q9R0H0
cluster 2	Q9R0H0
cluster 2	Q9ET01
cluster 2	Q9DBM2
cluster 2	Q9D0F9
cluster 2	Q99KQ4
cluster 2	Q93092
cluster 2	Q93092
cluster 2	Q922D8
cluster 2	Q91YI0
cluster 2	Q91Y97
cluster 2	Q91Y97
cluster 2	Q91X34
cluster 2	Q8VC97
cluster 2	Q8CGC7
cluster 2	Q8BX70
cluster 2	Q8BW75
cluster 2	Q80XL6
cluster 2	Q64442
cluster 2	Q64339
cluster 2	Q60769
cluster 2	Q3UPL0
cluster 2	Q3UJD6
cluster 2	P97351
cluster 2	Q60817
cluster 2	P51660
cluster 2	P51660
cluster 2	P51660
cluster 2	P40142
cluster 2	P25688
cluster 2	P24456
cluster 2	P16858
cluster 2	P01942
cluster 2	O35459
cluster 2	G3X982
cluster 2	O08997
cluster 2	Q9R0H0
cluster 2	Q9JHR7
cluster 2	Q9JHR7
cluster 2	Q9D5J6
cluster 2	Q91WT9
cluster 2	Q8VBT2
cluster 2	Q8R5F7
cluster 2	Q8R0Y6
cluster 2	Q8C196
cluster 2	Q8C196
cluster 2	Q8C196
cluster 2	P70303
cluster 2	P50285
cluster 2	P40142
cluster 2	P40142
cluster 2	P35700
cluster 2	P34914
cluster 2	P34914
cluster 2	O88844
cluster 2	P17182
cluster 2	Q9Z1Q9
cluster 2	P25688
cluster 2	P23116
cluster 2	O35490
cluster 2	P05201
cluster 2	Q9R0H0
cluster 2	Q9D154
cluster 2	Q9CYR6
cluster 2	Q99JY9
cluster 2	Q8VDD5
cluster 2	Q80SU7
cluster 2	Q2NL51
cluster 2	P52480
cluster 2	P46735
