C: Cluster	Razor Protein
cluster 4	Q8K1E0
cluster 4	Q8CHE4
cluster 4	Q8CGA3
cluster 4	P49817
cluster 4	O55222
cluster 4	P43274
cluster 4	Q7TMY8
cluster 4	Q64481
cluster 4	Q61122
cluster 4	P80317
cluster 4	Q3UDK1
cluster 4	P20852
cluster 4	P20852
cluster 4	Q9Z0R9
cluster 4	Q9R0M4
cluster 4	Q9JMA7
cluster 4	Q9JLJ2
cluster 4	Q9EPU0
cluster 4	Q99L04
cluster 4	Q8VDN2
cluster 4	Q8VDJ3
cluster 4	Q8R317
cluster 4	Q63886
cluster 4	Q5BL07
cluster 4	Q1HFZ0
cluster 4	Q01853
cluster 4	P70694
cluster 4	P54729
cluster 4	P50236
cluster 4	P52843
cluster 4	P16015
cluster 4	O54749
cluster 4	Q5SX40
cluster 4	Q9D6T0
cluster 4	Q8CGA3
cluster 4	Q8C878
cluster 4	Q5EBG8
cluster 4	Q4LDG0
cluster 4	P51855
cluster 4	A2ASS6
cluster 4	P10518
cluster 4	Q9Z2X1
cluster 4	Q80UG5
cluster 4	Q68FD5
cluster 4	P06801
cluster 4	P52840
cluster 4	P13516
cluster 4	Q9WUB0
cluster 4	Q9CWJ9
cluster 4	Q91XE4
cluster 4	Q8VCB3
cluster 4	Q8R2Y0
cluster 4	Q64458
cluster 4	Q64374
cluster 4	Q61526
cluster 4	Q5XJY5
cluster 4	Q5XJY5
cluster 4	Q5XJY5
cluster 4	Q5XJY5
cluster 4	P17742
cluster 4	Q5XJY5
cluster 4	Q91YQ5
cluster 4	Q8BVW3
cluster 4	Q05915
cluster 4	P48678
cluster 4	P33267
cluster 4	Q00896
cluster 4	P15532
cluster 4	P13516
cluster 4	O54749
cluster 4	O88451
cluster 4	Q9CZY3
cluster 4	Q99020
cluster 4	Q91W64
cluster 4	Q5NCC9
cluster 4	Q05421
cluster 4	Q05421
cluster 4	Q05421
cluster 4	Q05421
cluster 4	P31786
cluster 4	Q01853
cluster 4	Q9DCD0
cluster 4	Q91XU0
cluster 4	Q91XU0
cluster 4	Q91V92
cluster 4	Q8K0C4
cluster 4	Q91X77
cluster 4	Q63886
cluster 4	Q5SX40
cluster 4	Q5SX39
cluster 4	Q5SX39
cluster 4	Q3TXS7
cluster 4	Q3TXS7
cluster 4	P70295
cluster 4	P62192
cluster 4	P58735
cluster 4	P58710
cluster 4	P56399
cluster 4	P50285
cluster 4	P49429
cluster 4	P47740
cluster 4	P13516
cluster 4	P10852
cluster 4	P08228
cluster 4	P05213
cluster 4	P00329
cluster 4	O88685
cluster 4	O54890
cluster 4	A2ASS6
cluster 4	O09158
cluster 4	Q91X77
cluster 4	Q9QYJ3
cluster 4	Q9QY30
cluster 4	Q9EQF5
cluster 4	Q9DC29
cluster 4	Q9DBT9
cluster 4	Q99PV0
cluster 4	Q99LB7
cluster 4	Q99K51
cluster 4	Q91WT9
cluster 4	Q8VCB3
cluster 4	Q8C196
cluster 4	Q8C196
cluster 4	Q91X77
cluster 4	Q64459
cluster 4	Q9JMA7
cluster 4	Q64374
cluster 4	Q3UIL6
cluster 4	Q05421
cluster 4	Q05421
cluster 4	Q05421
cluster 4	Q01853
cluster 4	P70288
cluster 4	P63001
cluster 4	P62270
cluster 4	P61087
cluster 4	P56657
cluster 4	Q91X77
cluster 4	P56593
cluster 4	P52760
cluster 4	P49429
cluster 4	P31649
cluster 4	P24270
cluster 4	P16331
cluster 4	P12710
cluster 4	P12710
cluster 4	P07724
cluster 4	P00329
cluster 4	P00186
cluster 4	P00186
cluster 4	O70492
cluster 4	O35728
cluster 4	O35490
cluster 4	O35488
cluster 4	O09173
cluster 4	B2RX12
cluster 4	G3X982
cluster 4	Q9Z0R9
cluster 4	Q9QXY6
cluster 4	Q9DBW0
cluster 4	Q9D2C7
cluster 4	Q9D0E1
cluster 4	Q99MZ7
cluster 4	Q93092
cluster 4	Q93092
cluster 4	Q91X83
cluster 4	Q91WS4
cluster 4	Q8VCH0
cluster 4	Q8R0Y6
cluster 4	Q8K441
cluster 4	Q8BTM8
cluster 4	Q80UG5
cluster 4	Q78JT3
cluster 4	Q3UIL6
cluster 4	P84078
cluster 4	P60335
cluster 4	P58735
cluster 4	P54726
cluster 4	P53986
cluster 4	P33267
cluster 4	P33267
cluster 4	P26231
cluster 4	P26150
cluster 4	P22907
cluster 4	P12979
cluster 4	P08101
cluster 4	B2RX12
cluster 4	O35604
cluster 4	Q9NYQ2
cluster 4	Q9D6Y7
cluster 4	Q91XT4
cluster 4	Q8R0W6
cluster 4	Q8C196
cluster 4	Q8BP97
cluster 4	Q8BG67
cluster 4	Q78JT3
cluster 4	Q68FD5
cluster 4	Q64727
cluster 4	Q64374
cluster 4	Q61029
cluster 4	Q61029
cluster 4	P97792
cluster 4	P70694
cluster 4	P61089
cluster 4	P58710
cluster 4	P56654
cluster 4	P48678
cluster 4	P41216
cluster 4	P35492
cluster 4	P34884
cluster 4	P32883
cluster 4	P28230
cluster 4	P16460
cluster 4	O70475
cluster 4	P05213
cluster 4	P63325
cluster 4	P63325
cluster 4	P60867
cluster 4	P60867
cluster 4	Q9Z2X1
cluster 4	Q9Z204
cluster 4	Q9QX11
cluster 4	Q9JKV1
cluster 4	Q9ESE1
cluster 4	Q9DCP2
cluster 4	Q9DCP2
cluster 4	Q9DAR7
cluster 4	Q9DAR7
cluster 4	Q99L47
cluster 4	Q91V08
cluster 4	Q8QZR5
cluster 4	Q8CHR6
cluster 4	Q8BXB6
cluster 4	Q810U5
cluster 4	Q64459
cluster 4	Q61176
cluster 4	Q60864
cluster 4	Q3UQ44
cluster 4	Q2TBE6
cluster 4	P97364
cluster 4	P70694
cluster 4	P63037
cluster 4	P63017
cluster 4	P62806
cluster 4	P61979
cluster 4	P61957
cluster 4	P60867
cluster 4	P58252
cluster 4	P48776
cluster 4	P37040
cluster 4	P26231
cluster 4	P26043
cluster 4	P21619
cluster 4	P17751
cluster 4	P17751
cluster 4	P16331
cluster 4	P12710
cluster 4	P08226
cluster 4	O55022
cluster 4	O35445
cluster 4	O09131
cluster 4	O08705
cluster 4	O08709
cluster 4	P84099
cluster 4	Q9JMD3
cluster 4	Q9ET01
cluster 4	Q9DD20
cluster 4	Q9DBB8
cluster 4	Q9D0E1
cluster 4	Q99LM2
cluster 4	Q99JY8
cluster 4	Q91XU0
cluster 4	Q8JZR0
cluster 4	Q8BXB6
cluster 4	Q9JMA7
cluster 4	Q64442
cluster 4	Q61510
cluster 4	Q60864
cluster 4	Q05421
cluster 4	P84099
cluster 4	P63017
cluster 4	P59242
cluster 4	P56657
cluster 4	P56654
cluster 4	P54726
cluster 4	P20852
cluster 4	P12710
cluster 4	P10518
cluster 4	O54724
cluster 4	O55022
cluster 4	Q91X77
cluster 4	O35728
cluster 4	O35728
cluster 4	Q9QXG4
cluster 4	Q9ET01
cluster 4	Q99LB7
cluster 4	Q91W64
cluster 4	Q6XVG2
cluster 4	Q64012
cluster 4	Q63918
cluster 4	Q05421
cluster 4	Q05421
cluster 4	P70694
cluster 4	Q91X77
cluster 4	P56654
cluster 4	P52792
cluster 4	P41216
cluster 4	P26039
cluster 4	P24549
cluster 4	P19096
cluster 4	P12790
cluster 4	P07724
cluster 4	O88962
cluster 4	P12790
cluster 4	O35728
cluster 4	O35381
cluster 4	O08992
cluster 4	O09158
cluster 4	Q9QZQ8
cluster 4	Q9QY30
cluster 4	Q9JIL4
cluster 4	Q9ERV1
cluster 4	Q8BZZ3
cluster 4	Q8BNX1
cluster 4	Q80X90
cluster 4	Q80T85
cluster 4	Q64464
cluster 4	Q4LDG0
cluster 4	P56657
cluster 4	P52840
cluster 4	P35505
cluster 4	P17182
cluster 4	O70570
cluster 4	O35728
cluster 4	O35226
cluster 4	O35728
cluster 4	Q9Z0U1
cluster 4	Q9R092
cluster 4	Q9QYY9
cluster 4	Q9QY30
cluster 4	Q9JJL3
cluster 4	Q9JJL3
cluster 4	Q9JIZ0
cluster 4	Q9JIL4
cluster 4	Q9JIL4
cluster 4	Q9JI78
cluster 4	Q9ET01
cluster 4	Q9D9R0
cluster 4	Q9D6Y9
cluster 4	Q9CX56
cluster 4	Q99PE8
cluster 4	Q99J08
cluster 4	Q924Y0
cluster 4	Q922Y1
cluster 4	Q922D8
cluster 4	Q920L1
cluster 4	Q91ZP6
cluster 4	Q91Y97
cluster 4	Q91XD4
cluster 4	Q91X77
cluster 4	Q91X77
cluster 4	Q91X77
cluster 4	Q91X43
cluster 4	Q91WT9
cluster 4	Q91WG8
cluster 4	Q8VI47
cluster 4	Q8VI47
cluster 4	Q8VCN5
cluster 4	Q8VCN5
cluster 4	Q8VC30
cluster 4	Q8VC30
cluster 4	Q8R420
cluster 4	Q8R2Y0
cluster 4	Q8R183
cluster 4	Q8R0Y6
cluster 4	Q8K441
cluster 4	Q8K440
cluster 4	Q8K3K8
cluster 4	Q8K0C4
cluster 4	Q8CDN6
cluster 4	Q8BVW3
cluster 4	Q8BVW3
cluster 4	Q8BFW7
cluster 4	Q810U5
cluster 4	Q810B6
cluster 4	Q810B6
cluster 4	Q78PY7
cluster 4	Q6P6M7
cluster 4	Q6P1B1
cluster 4	Q64505
cluster 4	Q64459
cluster 4	Q64459
cluster 4	Q64459
cluster 4	Q64458
cluster 4	Q91X77
cluster 4	Q64442
cluster 4	Q64374
cluster 4	Q63886
cluster 4	Q62264
cluster 4	Q61598
cluster 4	Q61301
cluster 4	Q60902
cluster 4	Q5SWU9
cluster 4	Q4LDG0
cluster 4	Q4LDG0
cluster 4	Q4LDG0
cluster 4	Q3U7R1
cluster 4	Q05421
cluster 4	Q03265
cluster 4	P97872
cluster 4	P97501
cluster 4	P70697
cluster 4	P70694
cluster 4	P70694
cluster 4	P70694
cluster 4	P70170
cluster 4	P63017
cluster 4	P60762
cluster 4	P59242
cluster 4	P56657
cluster 4	P56657
cluster 4	P56657
cluster 4	P56657
cluster 4	Q91X77
cluster 4	Q91X77
cluster 4	P56654
cluster 4	P55264
cluster 4	P55096
cluster 4	P52792
cluster 4	P52792
cluster 4	P50431
cluster 4	P50172
cluster 4	P49429
cluster 4	P49429
cluster 4	P49429
cluster 4	P49429
cluster 4	P49429
cluster 4	P48678
cluster 4	P41216
cluster 4	P41216
cluster 4	P35700
cluster 4	P33267
cluster 4	P33267
cluster 4	P30999
cluster 4	P30999
cluster 4	P30115
cluster 4	P28666
cluster 4	P28271
cluster 4	P19096
cluster 4	P17717
cluster 4	P16460
cluster 4	P16460
cluster 4	P16331
cluster 4	P20852
cluster 4	P20852
cluster 4	P15392
cluster 4	P20852
cluster 4	P20852
cluster 4	P20852
cluster 4	P15392
cluster 4	P20852
cluster 4	P20852
cluster 4	P20852
cluster 4	P30115
cluster 4	P13516
cluster 4	P12790
cluster 4	P12710
cluster 4	P12710
cluster 4	P10922
cluster 4	P10649
cluster 4	P09210
cluster 4	P08226
cluster 4	P04184
cluster 4	P00186
cluster 4	P00186
cluster 4	O88962
cluster 4	O88962
cluster 4	O70161
cluster 4	P12790
cluster 4	O55022
cluster 4	O54946
cluster 4	O54749
cluster 4	O35490
cluster 4	O35445
cluster 4	O09158
cluster 4	O09012
cluster 4	E9Q557
cluster 4	O08966
cluster 4	Q9QXE7
cluster 4	Q9JLV5
cluster 4	Q9JIL4
cluster 4	Q9DBF1
cluster 4	Q921F4
cluster 4	Q8VDJ3
cluster 4	Q8VC12
cluster 4	Q8JZS0
cluster 4	Q8CGA3
cluster 4	Q80VP1
cluster 4	Q64459
cluster 4	Q5NCC9
cluster 4	P97501
cluster 4	P97501
cluster 4	P97328
cluster 4	P62908
cluster 4	P56657
cluster 4	P56657
cluster 4	P56654
cluster 4	P56399
cluster 4	P52843
cluster 4	P52843
cluster 4	P48678
cluster 4	P35492
cluster 4	P30416
cluster 4	P26231
cluster 4	P24456
cluster 4	P17717
cluster 4	Q62261
cluster 4	P12790
cluster 4	P12790
cluster 4	P60843
cluster 4	P00186
cluster 4	O55111
cluster 4	A2AN08
cluster 4	G3X982
cluster 4	Q05421
cluster 4	Q9QZQ8
cluster 4	Q9QXM0
cluster 4	Q9DAR7
cluster 4	Q9D665
cluster 4	Q9D5T0
cluster 4	Q99JN2
cluster 4	Q8VI47
cluster 4	Q8VCH6
cluster 4	Q8CHR6
cluster 4	Q80UP5
cluster 4	Q4LDG0
cluster 4	Q3UZZ6
cluster 4	Q05421
cluster 4	P62821
cluster 4	P56657
cluster 4	P56395
cluster 4	P26043
cluster 4	P17182
cluster 4	P09055
cluster 4	O88587
cluster 4	P00186
cluster 4	Q05421
cluster 4	Q05421
cluster 4	Q9QYG0
cluster 4	Q9D787
cluster 4	Q8BJ71
cluster 4	Q64481
cluster 4	Q5XJY5
cluster 4	P52843
cluster 4	P24457
cluster 4	Q62261
cluster 4	P14246
cluster 4	O35215
cluster 4	O88685
cluster 4	P20852
cluster 4	Q9Z2X1
cluster 4	Q9JIM1
cluster 4	Q9ET01
cluster 4	Q9EQ06
cluster 4	Q9DCP2
cluster 4	Q9DBA8
cluster 4	Q9D832
cluster 4	Q9CWK8
cluster 4	Q9CQV8
cluster 4	Q9CQC9
cluster 4	Q91X44
cluster 4	Q8C7G5
cluster 4	Q7TMK9
cluster 4	Q91X77
cluster 4	Q6P8X1
cluster 4	Q6AW69
cluster 4	Q69ZR2
cluster 4	Q61545
cluster 4	Q61510
cluster 4	P63017
cluster 4	P63017
cluster 4	P61979
cluster 4	P56593
cluster 4	P52840
cluster 4	P49429
cluster 4	P48776
cluster 4	P48776
cluster 4	P48776
cluster 4	P35505
cluster 4	P28230
cluster 4	P12710
cluster 4	P09055
cluster 4	O09173
cluster 4	B1AY13
cluster 4	O09012
cluster 4	Q60864
cluster 4	Q60864
cluster 4	Q9QY30
cluster 4	Q9QXF8
cluster 4	Q9QXF8
cluster 4	Q99L47
cluster 4	Q99J08
cluster 4	Q93092
cluster 4	Q91WS4
cluster 4	Q8VEK3
cluster 4	Q8VCX1
cluster 4	Q8R5K2
cluster 4	Q8QZR5
cluster 4	Q8C196
cluster 4	Q8C0C0
cluster 4	Q8BXB6
cluster 4	Q8BIQ5
cluster 4	Q68FD5
cluster 4	Q61176
cluster 4	Q60902
cluster 4	Q02248
cluster 4	P70694
cluster 4	P52760
cluster 4	P49429
cluster 4	P48776
cluster 4	P35700
cluster 4	P34914
cluster 4	P26231
cluster 4	P26231
cluster 4	P26043
cluster 4	P17225
cluster 4	P16331
cluster 4	P16331
cluster 4	P15105
cluster 4	P14869
cluster 4	P10649
cluster 4	O88587
cluster 4	O70589
cluster 4	O35490
cluster 4	B2RU80
cluster 4	O35488
cluster 4	Q9QYJ3
cluster 4	Q9JLB9
cluster 4	Q9JKF6
cluster 4	Q9DCP2
cluster 4	Q8K0C4
cluster 4	Q8BXB6
cluster 4	Q8BG05
cluster 4	Q64458
cluster 4	P60762
cluster 4	P16546
cluster 4	P14824
cluster 4	P12710
cluster 4	P05201
cluster 4	O88569
cluster 4	O08808
cluster 4	O35945
cluster 4	Q9JMA7
cluster 4	P20852
cluster 4	WP_014600685.1
cluster 4	Q9Z2V4
cluster 4	Q9QZ73
cluster 4	Q9QXM0
cluster 4	Q9JMA7
cluster 4	Q9JMA7
cluster 4	Q9JMA7
cluster 4	Q9JMA7
cluster 4	Q9JJL3
cluster 4	Q99J21
cluster 4	Q920L1
cluster 4	Q91X77
cluster 4	Q91X77
cluster 4	Q91X77
cluster 4	Q91V12
cluster 4	Q8VCC1
cluster 4	Q8R2Y0
cluster 4	Q8R2Y0
cluster 4	Q8CHR6
cluster 4	Q8C767
cluster 4	Q8BVI4
cluster 4	Q6XVG2
cluster 4	Q6XVG2
cluster 4	Q6PFD9
cluster 4	Q64505
cluster 4	Q9JMA7
cluster 4	Q9JMA7
cluster 4	Q64481
cluster 4	Q64459
cluster 4	Q64459
cluster 4	Q64442
cluster 4	Q62348
cluster 4	Q3U2P1
cluster 4	Q3TXS7
cluster 4	Q05421
cluster 4	Q02357
cluster 4	Q02013
cluster 4	Q01853
cluster 4	P70694
cluster 4	P63017
cluster 4	P62983
cluster 4	P62305
cluster 4	P58771
cluster 4	P58735
cluster 4	P56657
cluster 4	P56654
cluster 4	P56654
cluster 4	P56654
cluster 4	P52843
cluster 4	P52843
cluster 4	P49429
cluster 4	P48776
cluster 4	P40142
cluster 4	P35492
cluster 4	P30999
cluster 4	P26043
cluster 4	P21440
cluster 4	P20852
cluster 4	P17918
cluster 4	P20852
cluster 4	P20852
cluster 4	P20852
cluster 4	P12790
cluster 4	P00186
cluster 4	P00186
cluster 4	P00186
cluster 4	P00186
cluster 4	O88844
cluster 4	O88833
cluster 4	O88833
cluster 4	O88451
cluster 4	O55111
cluster 4	O54965
cluster 4	O54749
cluster 4	O09158
cluster 4	O09012
cluster 4	A4Q9F4
cluster 4	B5TVM2
cluster 4	Q9JMA7
cluster 4	Q9DCP2
cluster 4	Q9DCP2
cluster 4	Q99KG5
cluster 4	P20852
cluster 4	Q9Z2S7
cluster 4	Q9Z0U1
cluster 4	Q9WVJ2
cluster 4	Q9R062
cluster 4	Q9QY73
cluster 4	Q9QY30
cluster 4	Q9JM63
cluster 4	Q9JLV1
cluster 4	Q9EP75
cluster 4	Q9DD20
cluster 4	Q9DD20
cluster 4	Q9D8T4
cluster 4	Q9D0J8
cluster 4	Q9CZX8
cluster 4	Q9CSH3
cluster 4	Q99PL5
cluster 4	Q99LD8
cluster 4	Q99K48
cluster 4	Q924Y0
cluster 4	Q921F2
cluster 4	Q91WT9
cluster 4	Q91VM5
cluster 4	Q8VCI5
cluster 4	Q8QZR5
cluster 4	Q8K201
cluster 4	Q8CHT0
cluster 4	Q8C561
cluster 4	Q8C196
cluster 4	Q8BXB6
cluster 4	Q8BWP5
cluster 4	Q8BVW3
cluster 4	Q810U5
cluster 4	Q810U5
cluster 4	Q810U5
cluster 4	Q810U5
cluster 4	Q810B6
cluster 4	Q78PY7
cluster 4	Q78JW9
cluster 4	Q78JT3
cluster 4	Q68FD5
cluster 4	Q64505
cluster 4	Q9JMA7
cluster 4	Q60864
cluster 4	Q5YD48
cluster 4	Q5SW19
cluster 4	P97501
cluster 4	P97501
cluster 4	P97384
cluster 4	P84089
cluster 4	P80316
cluster 4	P70697
cluster 4	P70295
cluster 4	P63017
cluster 4	P56657
cluster 4	P56654
cluster 4	P56404
cluster 4	P55096
cluster 4	P46737
cluster 4	P35492
cluster 4	P31786
cluster 4	P19096
cluster 4	P19096
cluster 4	P16858
cluster 4	P16331
cluster 4	P16015
cluster 4	P20852
cluster 4	P14246
cluster 4	P13516
cluster 4	P12790
cluster 4	P12790
cluster 4	P10518
cluster 4	P07724
cluster 4	P00493
cluster 4	P00329
cluster 4	P00186
cluster 4	P00186
cluster 4	P00186
cluster 4	O88962
cluster 4	O88792
cluster 4	O54754
cluster 4	O35488
cluster 4	O35226
cluster 4	A2A6A1
cluster 4	O08966
cluster 4	Q9WUP7
cluster 4	Q9R0M4
cluster 4	Q9JMA7
cluster 4	Q9ERV1
cluster 4	Q9DD20
cluster 4	Q9D665
cluster 4	Q9CZ44
cluster 4	Q9CW42
cluster 4	Q99J47
cluster 4	Q93092
cluster 4	Q922Q1
cluster 4	Q920L1
cluster 4	Q8VEK3
cluster 4	Q8R0V5
cluster 4	Q8JZK9
cluster 4	Q8C7G5
cluster 4	Q8C196
cluster 4	Q8BXB6
cluster 4	Q80ZI6
cluster 4	Q64459
cluster 4	Q63886
cluster 4	Q63886
cluster 4	Q61112
cluster 4	Q60991
cluster 4	Q3UDK1
cluster 4	P97414
cluster 4	Q99JI6
cluster 4	P61087
cluster 4	P56657
cluster 4	P54728
cluster 4	P54116
cluster 4	P52843
cluster 4	P48776
cluster 4	P41216
cluster 4	P40142
cluster 4	P40142
cluster 4	P26231
cluster 4	O88962
cluster 4	O88384
cluster 4	P12790
cluster 4	A2ADY9
cluster 4	O09012
cluster 4	P62983
cluster 4	Q9JII6
cluster 4	Q9CPU0
cluster 4	Q91X83
cluster 4	Q91WG2
cluster 4	Q8VIJ6
cluster 4	P70694
cluster 4	P60843
cluster 4	P50247
cluster 4	P35278
cluster 4	P16015
cluster 4	P16015
cluster 4	Q9Z0R9
cluster 4	Q9WTX6
cluster 4	Q9R1P3
cluster 4	Q9QUI0
cluster 4	Q9JMA7
cluster 4	Q9JI78
cluster 4	Q9EPK7
cluster 4	Q9DCU2
cluster 4	Q9D832
cluster 4	Q99P88
cluster 4	Q8R420
cluster 4	Q8K4K6
cluster 4	Q8CDN6
cluster 4	Q8C196
cluster 4	Q64505
cluster 4	Q9JMA7
cluster 4	Q64373
cluster 4	Q5SSH7
cluster 4	Q1HFZ0
cluster 4	Q61316
cluster 4	P48678
cluster 4	P46471
cluster 4	P33267
cluster 4	P20152
cluster 4	P18760
cluster 4	P20852
cluster 4	P14733
cluster 4	O89051
cluster 4	P62983
cluster 4	P13516
cluster 4	Q9CWK8
cluster 4	Q99L47
cluster 4	Q99J08
cluster 4	Q91Y97
cluster 4	Q8JZR0
cluster 4	Q8CDG3
cluster 4	Q8C196
cluster 4	Q8BVI5
cluster 4	Q60864
cluster 4	P12710
cluster 4	P11499
cluster 4	O88844
cluster 4	P02088
cluster 4	Q9QXG4
cluster 4	Q9JMA1
cluster 4	Q9D2R0
cluster 4	P13516
cluster 4	Q64374
cluster 4	Q9ET01
cluster 4	P10649
cluster 4	P40142
cluster 4	Q9R0H0
cluster 4	Q9DBJ6
cluster 4	Q9D826
cluster 4	Q9D0F9
cluster 4	Q01853
cluster 4	P43274
cluster 4	P24270
cluster 4	P19096
cluster 4	P17563
cluster 4	O35490
cluster 4	P14869
cluster 4	Q93092
cluster 4	Q920E5
cluster 4	Q91Y97
cluster 4	P97794
cluster 4	P63017
cluster 4	P54869
cluster 4	P52843
cluster 4	P52840
cluster 4	P52760
cluster 4	P34914
cluster 4	P30115
cluster 4	P30115
cluster 4	P24549
cluster 4	P23492
cluster 4	P17751
cluster 4	P16015
cluster 4	P12710
cluster 4	O35490
cluster 4	O35490
cluster 4	Q9Z2V4
cluster 4	Q9R0P3
cluster 4	Q9QZW0
cluster 4	Q9QXE0
cluster 4	Q8JZR0
cluster 4	P97872
cluster 4	P61202
cluster 4	P49429
cluster 4	P24549
cluster 4	P06151
cluster 4	O35490
cluster 4	P00329
cluster 4	Q9D826
cluster 4	Q91X83
cluster 4	Q9ET01
cluster 4	Q8CHR6
cluster 4	Q8CHR6
cluster 4	Q8CAY6
cluster 4	Q8C196
cluster 4	Q8C196
cluster 4	Q8C196
cluster 4	Q8BG51
cluster 4	Q64727
cluster 4	P41216
cluster 4	P55096
cluster 4	Q9R1P1
cluster 4	Q9QXY6
cluster 4	Q9DBM2
cluster 4	Q9D6Y9
cluster 4	Q91Y97
cluster 4	Q64514
cluster 4	Q64511
cluster 4	Q3V209
cluster 4	Q60817
cluster 4	P55096
cluster 4	P55096
cluster 4	P55096
cluster 4	P25688
cluster 4	P19096
cluster 4	P24270
cluster 4	P25688
