code	taxid	primary taxid	taxname	ISGylation (Y/N) Protein uniprot	ISGylation (Y/N) GENE NCBI
1	8090	8090	Oryzias latipes	N	N
1	8128	8128	Oreochromis niloticus	N	N
1	81824	81824	Monosiga brevicollis	N	N
1	8469	8469	Chelonia mydas	N	N
1	8502	8502	Crocodylus porosus	N	N
1	8801	8801	Struthio camelus	N	N
1	88036	88036	Selaginella moellendorffii	N	N
1	8932	8932	Columba livia	N	N
1	9031	9031	Gallus gallus	N	N
1	9103	9103	Meleagris gallopavo	N	N
1	9233	9233	Aptenodytes forsteri	N	N
1	9258	9258	Ornithorhynchus anatinus	N	N
1	9305	9305	Sarcophilus harrisii	Y	Y
1	9315	9315	Notamacropus eugenii	N	N
1	9358	9358	Choloepus hoffmanni	N	N
1	9361	9361	Dasypus novemcinctus	N	Y
1	9365	9365	Erinaceus europaeus	Y	Y
1	9371	9371	Echinops telfairi	N	Y
1	946362	946362	Salpingoeca rosetta	N	N
2	9478	1868482	Carlito syrichta	N	N
1	9483	9483	Callithrix jacchus	Y	Y
1	94835	94835	Gavialis gangeticus	N	N
1	9544	9544	Macaca mulatta	Y	Y
1	9555	9555	Papio anubis	Y	Y
1	9593	9593	Gorilla gorilla	N	Y
1	9598	9598	Pan troglodytes	Y	Y
1	9600	9600	Pongo pygmaeus	N	N
1	9601	9601	Pongo abelii	Y	Y
1	9606	9606	Homo sapiens	Y	Y
1	9612	9612	Canis lupus	Y	N
1	9646	9646	Ailuropoda melanoleuca	N	Y
1	9668	9668	Mustela putorius	N	N
1	9685	9685	Felis catus	Y	Y
1	9689	9689	Panthera leo	N	N
1	9690	9690	Panthera onca	N	N
1	9691	9691	Panthera pardus	N	Y
1	9707	9707	Odobenus rosmarus	N	N
1	9739	9739	Tursiops truncatus	N	Y
1	9785	9785	Loxodonta africana	Y	Y
1	9796	9796	Equus caballus	Y	Y
1	9813	9813	Procavia capensis	N	N
1	9823	9823	Sus scrofa	Y	Y
1	9913	9913	Bos taurus	Y	Y
1	9978	9978	Ochotona princeps	N	Y
1	9986	9986	Oryctolagus cuniculus	Y	Y
1	99883	99883	Tetraodon nigroviridis	N	N
